Season,Team,Points
2018-2019,manchester-united,66
2018-2019,leicester-city,52
2018-2019,newcastle-united,45
2018-2019,tottenham-hotspur,71
2018-2019,fulham,26
2018-2019,crystal-palace,49
2018-2019,bournemouth,45
2018-2019,cardiff,34
2018-2019,huddersfield,16
2018-2019,chelsea,72
2018-2019,watford,50
2018-2019,brighton-and-hove-albion,36
2018-2019,wolverhampton-wanderers,57
2018-2019,everton,54
2018-2019,southampton,39
2018-2019,burnley,40
2018-2019,liverpool,97
2018-2019,west-ham-united,52
2018-2019,arsenal,70
2018-2019,manchester-city,98
2019-2020,liverpool,99
2019-2020,norwich,21
2019-2020,west-ham-united,39
2019-2020,manchester-city,81
2019-2020,bournemouth,34
2019-2020,sheffield-united,54
2019-2020,watford,34
2019-2020,brighton-and-hove-albion,41
2019-2020,crystal-palace,43
2019-2020,everton,49
2019-2020,burnley,54
2019-2020,southampton,52
2019-2020,tottenham-hotspur,59
2019-2020,aston-villa,35
2019-2020,leicester-city,62
2019-2020,wolverhampton-wanderers,59
2019-2020,newcastle-united,44
2019-2020,arsenal,56
2019-2020,manchester-united,66
2019-2020,chelsea,66
2020-2021,fulham,28
2020-2021,arsenal,61
2020-2021,crystal-palace,44
2020-2021,southampton,43
2020-2021,liverpool,69
2020-2021,leeds-united,59
2020-2021,west-ham-united,65
2020-2021,newcastle-united,45
2020-2021,west-brom,26
2020-2021,leicester-city,66
2020-2021,tottenham-hotspur,62
2020-2021,everton,59
2020-2021,sheffield-united,23
2020-2021,wolverhampton-wanderers,45
2020-2021,brighton-and-hove-albion,41
2020-2021,chelsea,67
2020-2021,manchester-united,74
2020-2021,burnley,39
2020-2021,aston-villa,55
2020-2021,manchester-city,86
2021-2022,brentford,46
2021-2022,arsenal,69
2021-2022,manchester-united,58
2021-2022,leeds-united,38
2021-2022,everton,39
2021-2022,southampton,40
2021-2022,leicester-city,52
2021-2022,wolverhampton-wanderers,51
2021-2022,chelsea,74
2021-2022,crystal-palace,48
2021-2022,burnley,35
2021-2022,brighton-and-hove-albion,51
2021-2022,watford,23
2021-2022,aston-villa,45
2021-2022,norwich,22
2021-2022,liverpool,92
2021-2022,newcastle-united,49
2021-2022,west-ham-united,56
2021-2022,tottenham-hotspur,71
2021-2022,manchester-city,93
2022-2023,crystal-palace,45
2022-2023,arsenal,84
2022-2023,fulham,52
2022-2023,liverpool,67
2022-2023,newcastle-united,71
2022-2023,nottingham-forest,38
2022-2023,bournemouth,39
2022-2023,aston-villa,61
2022-2023,leeds-united,31
2022-2023,wolverhampton-wanderers,41
2022-2023,tottenham-hotspur,60
2022-2023,southampton,25
2022-2023,everton,36
2022-2023,chelsea,44
2022-2023,leicester-city,34
2022-2023,brentford,59
2022-2023,manchester-united,75
2022-2023,brighton-and-hove-albion,62
2022-2023,west-ham-united,40
2022-2023,manchester-city,89
2023-2024,burnley,24
2023-2024,manchester-city,91
2023-2024,arsenal,89
2023-2024,nottingham-forest,36
2023-2024,everton,48
2023-2024,fulham,47
2023-2024,brighton-and-hove-albion,48
2023-2024,luton-town,26
2023-2024,sheffield-united,16
2023-2024,crystal-palace,49
2023-2024,bournemouth,48
2023-2024,west-ham-united,52
2023-2024,newcastle-united,60
2023-2024,aston-villa,68
2023-2024,brentford,39
2023-2024,tottenham-hotspur,66
2023-2024,chelsea,63
2023-2024,liverpool,82
2023-2024,manchester-united,60
2023-2024,wolverhampton-wanderers,46
